,datano,꽃 이름,꽃 영문이름,꽃말,사용,생장
10,356,백량금,Coral berry,"가치, 사랑","제주나, 남부지역에서는 정원용으로 훌륭한 소재이다. 중부지역에서는 추위에 약해 실내에 잎이나 열매를 보는 관엽식물로 흔히 이용된다. 꽃은 6월에 흰색으로 피며 열매는 9월에 빨갛게 핀다. 영하 5℃이상인 곳에서는 월동한다.","음지, 염해에 강하고 생장속도도 빠르지만 맹아력이 약하고 추위와 공해에 잘 못 견딘다. 씨앗은 2-3월 채취즉시 뿌리면 절반정도 싹이 나오며 3년정도 기르면 꽃을 피운다. 여름 장마철에 정아삽(줄기 끝 신초) 하면 새뿌리가 잘 나온다. 반 그늘진 곳으로 물빠짐이 좋은 사질양토면 잘 자란다."
11,355,애기동백,Camellia sasanqua,"자랑, 겸손한 아름다움",상록성으로 한 겨울에도 잎이 푸르고 싱싱하기 때문에 관상용으로 아주 우수하다. 특히 광택이 나는 잎이나 겨울과 봄에 피는 꽃모습은 환상적이다. 월동이 가능하다면 정원에 한 두 그루쯤은 반드시 있어야 할 우리 자생식물 중의 하나이다. 중부지역에서는 실내 관엽식물로 많이 쓰인다.,어릴 때는 반그늘을 좋아하지만 어른이 되면 강한 광선을 좋아한다. 특히 물을 좋아하므로 용토가 마르지 않도록 물을 충분히 준다. 남부식물이긴 하지만 추위에도 웬만큼 견디며 어느 정도 추위를 겪어야 꽃도 아름답다. 씨앗이나 삽목으로 번식한다. 화분이 꽉 차면 분갈이를 해 준다.
12,354,만년청,Lily of China,"상속, 모성애",관상용으로 이용된다. 제주에서는 노지에서도 월동되지만 그 밖의 지역에서는 실내에서 관엽식물로 이용한다. 상록성이라 잎의 관상가치가 높으며 빨간 열매도 아름답다. 꽃은 연한 황색으로 5-7월에 피는데 작은 종 모양으로 별 볼품은 없다. 오히려 빨간 열매(가끔은 노란 색)들이 꽃대 끝에 모여 달리며 꽤 장기간 관상할 수 있다.,"뿌리줄기가 굵고 비스듬히 서며 끝에서 잎들이 다닥다닥 붙어 나온다. 번식은 포기나누기나 엽삽(잎꽂이)을 하는데, 대량생산을 위해 엽삽방식을 흔히 이용한다. 봄에 새로 나온 잎을 7&sim;8cm길이로 잘라 모래에 꽂아두면 뿌리를 잘 내린다."
13,353,풍란,,참다운 매력,"여름에 피는 꽃의 향기는 물론 잎 모양도 좋아 가정, 사무실 등 실내에서 분화용으로 많이 쓰인다. 최근 원예특작과학원 연구결과 새집증후군 원인이 되는 포름알데이드를 잘 제거하는데 제거능력은 잎은 물론 뿌리부분도 크다.",풍란(風蘭)은 바람이 잘 통하는 곳에서 자라는 난이라 하여 붙여진 이름이다. 이름에서 알 수 있듯이 뿌리(氣根)의 생장에는 공기의 유통이 크게 관여한다. 그래서 풍란을 즐길 때는 돌이나 나무에 붙여 뿌리를 완전히 대기 중에 노출시켜 관리하는 것이 보통이며 특히 습도유지가 중요하다.
14,352,공작고사리(아디안텀),American maidenhair fern,애교,주로 실내에서 관엽식물로 이용되고 있는 것은 아디안텀 이라는 원예종들이다. 잎 모양이 시원하며 부드러운 느낌을 주는 데다 실내처럼 광도가 낮은 곳에서도 잘 자란다. 꽃꽂이 소재로도 종종 쓰인다.,실내에서 기를 때 물 관리가 중요하다. 대부분 양치식물처럼 습기를 좋아하기 때문이다. 여름철에는 매일 스프레이를 해주는 것이 좋다. 추위에 약해 겨울에 15℃ 이상 유지해 주어야 꾸준히 관상할 수 있다. 단순히 포기를 월동시키는 경우에도 8℃ 이상은 유지되어야 한다.
15,351,팔레놉시스(호접란),Moth-orchid,당신을 사랑합니다.,꽃이 아름답고 최근 공기정화기능이 알려지면서 실내 분화용으로 주로 이용되며 선물용으로 많이 쓰이다. 고급 꽃꽂이용 소재로도 종종 이용된다. 옛날에는 가격이 비싸 고급 선물용으로만 거래되었으나 대량생산 되면서 가격도 많이 내려 소비가 점차 보편화되고 있다. 꽃이 피면 3개월은 관상할 수 있다.,실내에 광선이 웬만큼 들어오는 곳이면 어디든 잘 견딘다. 기능성 활용면에서 침실에 두는 경우 일주일에 2-3회 베란다로 내다 볕을 충분히 받도록 해 준다. 새로 나오는 어린 포기를 떼어 번식할 수 있지만 꽃눈 분화를 위해서는 일정한 저온처리 등이 필요하여 일반 가정에서는 꽃 피우기가 쉽지 않다.
16,350,헬레보러스,Hellebore,존재 이유,"키는 30-50cm로 작지만 볼륨감이 있어 화단이나 정원의 바위틈에 심으면 잘 어울린다. 꽃은 우리나라에서 봄에 피는데, 연한 노랑색부터 자주색, 분홍색 등 다양하다. 꽃도 보기 좋지만 포기 전체 모양이 관상가치가 높다.","수분이 충분하고 비옥한 곳을 좋아한다. 흙은 광선에 따라 달라 하루종일 햇볕이 들거나 그늘(산란광)이 지는 곳은 중성이나 알카리 흙을 좋아하고 부분적으로 차광이 되는 곳에서는 산성흙을 더 좋아한다. 지나치게 습기가 많거나 건조한 곳, 찬바람이 많이 부는 곳은 피한다. 원종은 씨앗으로 번식하고 원예종은 꽃이 진 뒤 포기나누기로 번식한다."
17,349,크로톤,Croton,교태,"우리나라에서 관엽식물로 많이 재배되고 있는데, 재배되는 것들은 원종으로부터 개량되어 나온 원예품종들이 대부분이다. 꽃은 여름철에 피며 노란색으로 별 모양을 하고 있으나 관상가치가 크지 않으며, 이 식물의 주 관상부위는 잎이다. 잎의 칼라가 독특하고 모양도 각양각색이다.",재배조건이 약간 까다로워 일반 가정에서 재배가 다소 어려운 식물이다. 잎에 고유의 색을 유지해 주기 위해서는 높은 광도와 25℃이상의 고온과 높은 습도가 유지되어야 한다.
18,348,유자나무,Yuzu,기쁜 소식,남부지역에서는 관상수로도 심지만 식용으로 재배되는 것이 보통이다. 열매는 부드럽고 즙이 많지만 신맛이 강하고 향기가 있으므로 요리에 사용한다. 덜 익은 것은 한방과 민간에서 탱자 대용으로서 건위&middot;건담에 약용한다. 잎이 상록성이라 실내 관엽으로 심어도 좋다. 특히 물관리만 잘 하면 노란 열매가 겨울 내내 달려있어 관상용으로 우수하다.,번식은 씨앗이나 접붙이기로 한다. 분재를 좋아하는 사람들은 유자나무를 용기에 심어 키를 작게 관리하면서 관상용으로 즐기기도 한다.
19,347,소나무,Korean red pine,불로장수,"아파트, 일반 가정, 거의 모든 정원에 쓰이며 공원, 학교, 자연 학습장 등 가리지 않고 쓰인다. 소나무 분재도 유명하다. 꽃박람회나 전시회에 가면 백 살 넘는 소나무 분재도 흔히 볼 수 있다. 소나무도 다른 꽃가루를 참 좋아한다. 암수가 한 나무에 있는 일가화(一家花)인데, 옥수수 꽃처럼 수꽃은 새 가지 밑 부분에 타원형으로 피며 암꽃은 가지 끝에 계란모양으로 핀다. 다른 꽃가루를 받으려는 전략이다.","대부분 씨앗으로 번식한다. 어떤 용도로 쓰느냐 따라 관리방법이 달라진다. 정원용은 전정, 수형관리, 병해충 방제 및 시비 중심으로 관리하고 분재용은 활착, 관수, 수형관리 및 생장억제 등의 관리를 한다. 소나무는 햇볕을 매우 좋아하며 16~30℃에서 잘 생육한다. 어릴 때 성장이 빠르고 척박한 땅에서도 견디지만 비옥하고 토심이 깊은 곳에서 좋은 성장을 보인다."
20,346,산세베리아,Mother-in-law's tongue,관용,잎에서 음이온이 많이 나온다 하여 거의 모든 가정에 가면 한 개 이상씩 있을 정도로 사랑을 많이 받는 분화용이다. 실제 우리 원예과학원 실험실에서 체크한 결과 심비디움이나 팔손이나무에 비해 음이온 발생량은 떨어진다. 잎에 연한 무늬가 있으며 수직으로 곧게 자라고 다육질로서 가장 오래 사는 관엽식물 중 하나로 알려져 있다.,"뿌리줄기에서 바로 나오는 잎을 떼어 번식한다. 충분히 자란 개체들은 봄에 꽃이 피는데, 잎 사이에서 꽃대가 나와 여기에 흰색의 작은 꽃들이 이삭모양으로 달려 핀다. 꽃에 향기가 있고 작은 밀샘들이 있다. 고온에는 강하지만 저온에 몹시 약한 식물로 겨울에도 밤에 15℃이상 떨어지면 장해를 받는다. 광선은 지나치게 강한 것을 싫어하며 반그늘 정도를 좋아한다."
21,345,빌베르기아,Friendship plant,만족,잎이 좋아 역시 관엽식물로 실내에서 쓰인다. 미국에서는 주로 남부지방의 정원용으로 재배되고 있으며 실내식물로도 많이 이용되고 있다. 우리나라에서도 관엽으로 재배할 수 있지만 아직 일반화되지 않고 있다.,줄기는 곧게 자라며 키가 크고 약간 로젯트성(잎들이 아래에 몰려 있는 형태)으로 자란다. 잎에 톱니가 나 있고 꽃이 화려하지만 꽃의 수명은 짧다. 겨울에 따뜻하게 해 줘야 하며 최저 7&sim;8℃로 유지해 준다. 포기나누기로 쉽게 번식된다.
22,344,엘라티오르베고니아,Elatior begonia,진정한 아름다움,"실내에서는 연중 꽃이 핀다. 허브식물로도 인기가 많은 품목이다. 보통 실내식물 중 여름철에 피는 꽃이 적은데, 이 식물은 여름에도 피므로 분화용으로 인기가 많다.",처음엔 꽃시장에서 사야겠지만 번식법을 알면 집에서 충분히 늘려갈 수 있다. 어른 포기에서 나오는 직경 2-3cm의 어린잎을 잎자루까지 달리게 잘라 삽목상에 꽂아 두면 20-30일 지나 새 뿌리를 내린다. 화분에 옮겨 몇 개월 정도 기르다 윗부분을 잘라주면(적심) 측지들이 나오면서 화분의 모양이 잡힌다.
23,343,칼랑코에,Christmas kalanchoe,"인기, 설레임",다육성 분화라서 건조에도 강하므로 실내에서도 잘 견딘다. 광이 부족하면 웃자라기 때문에 볕이 잘 드는 베란다나 창가 등에 둔다.,5도 이상이면 무난히 월동하므로 겨울철 야간에 무가온 사무실 같은 곳에서도 잘 자란다. 다육성 식물이지만 물도 좋아하며 번식은 엽삽이나 포기나누기로 잘 증식된다.
24,342,반다,Vanda,애정의 표시,착생란으로 뿌리가 공기 중에 노출되어도 잘 자란다. 흔히 식물원 온실에 가면 벽이나 선반 등 공중에 걸어 관리하는 모습을 종종 볼 수 있다.꽃은 줄기의 잎겨드랑이에서 나오지만 줄기 끝에서도 종종 나온다. 꽃은 진한 분홍바탕에 적색의 그물무늬가 꽃잎 전체적으로 망사처럼 곱게 퍼져 있다. 품종 개량이 많이 되어 꽃색이 매우 다양해지고 있으며 청색인 것도 있다.,"반다는 우리나라에서 분화용으로 흔히 재배되고 있는데, 뿌리(氣根)가 공기를 좋아하기 때문에 화분에 심을 때는 통풍이 잘 되는 바크같은 재료를 이용하여야 하며, 나무껍질 같은 곳에 뿌리를 노출시킨 채 붙이기도 한다. 늘 다습한 것을 좋아하기 때문에 하루에 두 번 정도 스프레이를 해줘야 한다. 광선을 좋아하므로 햇볕이 잘 드는 곳이 좋으나 한 여름에는 약간 차광해 주는 것이 바람직하다.'"
25,341,덴드로비움,Dendrobium,"말괄량이, 미인",꽃이 아름다워 대부분 분화용으로 이용된다. 꽃대를 잘라 꽃꽂이용 재료로 고급 화훼장식에도 이용된다. 행사용 코사지의 메인으로 종종 쓰인다. 우리 자생 덴드로비움인 석곡 꽃의 향기는 매우 진하며 매혹적으로 그 자체가 식물이 뿜는 천연향이기 때문에 향기의 수준이 일반 향수와는 비교할 수 없을 정도로 좋다.,"덴드로비움도 착생란의 하나로 화분 뿌리부분의 통기성이 중요하다. 통기가 잘 되도록 거친 바크(나무껍질)를 배양토로 쓴다. 번식은 포기나누기로 한다. 봄이 되면 1개의 헛알줄기에서 1∼2개의 새눈이 생기고 이것을 포기로 하여 좀 자라면 포기를 나눠 늘린다. 화분은 되도록 작은 것을 쓰며, 큰 포기가 되지 않게 하려면 해마다 싹을 다 없애고 작은 포기가 되도록 바꾸어 나가는 것이 좋다. 실내 공기를 정화하는 능력이 있고 특히 자일렌을 제거하는 능력이 뛰어난 것으로 알려져 있다."
26,340,네오레겔리아,null,만족,잎을 보는 관엽식물로써 실내분화용으로 쓰인다. 우리나라에서도 꽤 재배되고 있으며 화원에서 쉽게 구할수 있다. 꽃대는 거의 뻗어 나오지 않고 원통 속에서 꽃이 핀다. ,이 식물의 생육습성은 착생형으로 일부 동양란들처럼 뿌리가 공기에 많이 노출되어야 잘 자란다. 그래서 통기성이 아주 뛰어난 바크(소나무 껍질 같은 유기물) 같은 용토에 심는 것이 보통이다. 
27,339,후크시아,"Lady's eardrops,common fuchsia ",선물,"꽃이 피는 기간이 길고 꽃이 화려해 분화용으로 많이 쓰인다. 꽃이 여름부터 가을까지 핀다. 덩굴성인 품종은 식물원내 온실에서 군락을 이뤄 심거나 생울타리를 만들어 놓으면 관상용으로 훌륭하다. 꽃색은 자색이나 적색이고 꽃밥은 홍적색이나 백색이며, 꽃잎이 꽃밥보다 짧아 가운데가 돌출되어 있다.","봄, 가을에 삽목으로 번식한다. 새뿌리가 내리면 작은 화분에 심어 수형을 만들며 생육상태에 따라 점차 큰 화분에 옮겨준다. 용토는 점질양토4, 부엽토4, 모래2의 비율로 섞어쓴다. 겨울에 10℃이상 유지되어야 한다. 여름에는 발을 친 선선한 장소에 두고 물을 충분히 준다."
28,338,극락조화,Bird-of-paradise flower,신비,"극락조화는 미국, 유럽 등 화훼 선진국에서는 꽃꽂이를 만드는 주재료로 흔히 이용되는데, 우리나라에서는 주로 온실에서 관엽 또는 분화용으로 재배되며 간혹 고급 절화용으로 쓰이기도 한다.",번식은 씨앗으로 하거나 포기나누기로 한다. 씨앗으로 하면 개화까지의 기간이 너무 길어진다. 주로 3년생 묘나 개화주를 포기나누기(분주)하여 번식한다. 꽃은 이른 봄부터 여름에 걸쳐 몇개월동안 화려하게 피어있다. 줄기없이 잎에서 꽃대가 바로 나오며 키는 1m를 훌쩍 넘는다. 긴 꽃대의 끝 부분에 20cm정도 되는 포가 좌우로 생기고 그 속에서 여러개의 꽃이 핀다.
29,337,공작선인장,Red orchid cactus,정열,공작선인장은 줄기가 납작하고 편평하며 선명한 녹색으로 1m정도까지 자란다. 꽃은 진한 홍색으로 선인장류 중 가장 아름다운 꽃중의 하나로 알려져 있다. 관상용으로 수 백종류 품종이 있으며 꽃색도 매우 다양하다. 가정의 분화용으로 많이 쓰이며 식물원 온실에 심어 관상용 또는 교육용으로도 흔히 이용된다. ,삽목으로 잘 번식된다. 줄기가 아래로 늘어지면서 자라기 때문에 지주를 세워 주는 것이 좋다. 용토는 일반 선인장류처럼 모래를 주로 쓰며 부엽토를 20%정도 섞어주는 것이 좋다. 직사광선은 약간 피하는 것이 좋고 온도가 20℃이상은 되어야 잘 자란다. 겨울에 7℃이하로 떨어지면 월동이 곤란하다. 
30,336,감귤,Citrus,"순결, 친애",과일을 따서 생식하는 식용으로 재배되는 것이 대부분이다. 감귤류 중 금감이나 유자 등은 화분에 심어 실내 관상용으로도 쓰인다. 노란 열매가 달린채 2-3개월간 유지되기 때문에 가정 베란다나 사무용 건물의 출입구에 두면 출퇴근길 관상용으로 훌륭하다.,"지구온난화는 우리 농업에서 위기와 기회를 동시에 가져온다. 감귤은 제주에서만 재배되던 것이 최근 고흥, 완도 등 남부지역으로 북상하여 점차 재배가 확대되고 있다. "
31,335,올리브,Olive,평화,"올리브는 열매에서 기름을 추출하는데 열매가 자그마한 크기로 잘 익었을 때 푸른빛은 띠는 검은색이다. 잎이 두꺼워 건조에 강하며 열매는 식용으로 쓰기도 한다. 올리브오일에는 천연비타민과 항산화물질이 들어있어 피부용, 식용으로 흔히 쓰이고 있다.","미국 캘리포니아 남부지역에서 많이 재배한다. 이 나무는 키가 12m정까지도 자라고 나무 꼭대기가 둥근 모양으로, 잎은 좁고 긴 타원형으로 매우 더디게 자란다. 척박지에서도 잘 자라며 수명이 길다. "
32,334,왕갯쑥부쟁이,null,만추의 향연,자생지인 제주와 남부지역을 중심으로 종종 쓰인다. 꽃이 크고 눈에 쉽게 띄어 화단용이나 길 가 경관용으로 우수하다. 꽃이 크고 아름다워 분화용으로도 좋으나 꽃수의 확보 및 분화수명 증진 등 개량할 점이 많이 있다.,12월에 잘 여문 씨앗을 따서 봄에 뿌리면 그 해 자란 뒤 이듬해 꽃을 피운다. 화단에서 햇볕이 잘 드는 곳에 심는다.
33,333,구즈마니아,Striped torch,만족,"꽃을 좋아하는 웬만한 가정의 베란다에 가면 볼 수 있다. 가정의 실내에서 가장 많이 쓰며 온실, 식물원 같은 겨울에 보온이 되는 곳에서 관찰이나 학습용으로 이용된다. 잎이 가죽질로 표면이 반들반들하다. 꽃을 감싸고 있는 윗 부분의 잎들이 빨갛게 물들어(포엽) 보기가 좋다.","이 구즈마니아는 습도가 높은 것을 좋아하며, 음지에서 잘 자라기 때문에 아파트에서 기를 경우 차광을 강하게 하는 것이 바람직하다. 생육에 알맞은 온도는 낮에는 25-30℃, 밤에는 20℃ 정도이며 추위에는 약한 편으로 겨울에 10℃ 이상은 유지해 주어야 안전하게 월동할 수 있다."
34,332,처녀치마,Korean heloniopsis,"기세, 활달 ",추위에 강하고 키가 낮아 정원용이나 화분용으로 쓸만한 식물이다. 어느 정도 습기를 좋아해 자생지를 보면 주로 계곡 주변에 바위틈 같은 곳에서 자라면서 그 긴 잎들을 아래로 늘여 뜨린다. 정원용으로는 반 그늘진 곳으로 봄에 볕이 잘 들며 물기가 어느 정도 유지되는 곳에 심어야 한다.,낙엽수 아래에 부엽토가 쌓인 곳에 심고 웬만큼 습기가 유지되도록 관리한다. 종자의 발아에 대한 상세한 연구결과는 없지만 자생지를 보면 쉽게 군락을 이루는 것으로 보아 종자번식도 잘될 것으로 생각된다. 5-6월에 꽃이 진 다음 포기를 나누어 번식한다.
35,331,백리향,Thyme,향기,작은 것부터 큰 것에 이르기까지 분화용으로 다양하게 쓰인다. 추위에 강해 전국 어디서든 화단용으로 쓸 수 있다. 잎이나 줄기를 잘라 향료나 오일 추출용으로도 쓴다.,추위에 강하고 더위는 물론 건조에도 강하다. 줄기가 옆으로 포복하면서 자란다. 4월에 씨앗을 뿌리거나 봄이나 가을에 포기나누기로 번식한다. 이른 봄에 삽목해도 된다.
36,330,비모란선인장,Rubby balls,세계속의 한국,분화용으로 가장 많이 쓰인다. 다른 다육식물과 함께 모듬으로 심어 고급 다육식물 화분으로 판매되기도 한다. 다육식물들이 전자파를 차단해주고 주로 야간에 공기 중의 이산화탄소를 제거하는 기능성이 있어 공부방과 침실에 배치하는 가정이 꾸준이 늘고 있다.,원래 건조한 곳에서 잘 자라는 다육식물이라 물을 자주 주지 않아도 잘 자란다. 하지만 높은 광도를 필요로 하기 때문에 햇볕은 충분히 받도록 해 줘야 한다. 광이 부족하면 웃자라거나 몸이 허약해진다. 용토에 거름기가 있으면 훨씬 잘 자란다.
37,329,다정큼나무,Yeddo hawthorn,친밀,추위와 그늘에 약하며 공해에도 강한 편은 아니다. 하지만 염해에 강하고 맹아력도 좋아 교통량이 많지 않으면 남부지역에서 길가 조경용으로 훌륭하다. 중부지역에서는 잎을 관상하는 관엽류로 쓰인다. ,장마철에 새로 나온 가지를 잘라 삽목하면 절반정도 새 뿌리를 내린다. 봄에 물빠짐이 좋고 볕이 잘 드는 곳에 심는다. 독립수로 심어도 수형이 잘 잡힌다.
38,328,협죽도,Common oleander,"주의, 방심은 금물",제주 등 남부지역에서 길가 조경수로 흔히 이용하고 있다. 유럽에서도 대형화분에 심겨 관상용으로 흔히 쓰인다. 잎이나 줄기를 심하게 문지르거나 꽃가루가 눈 속에 들어가면 부작용이 생기지만 나무의 껍질과 뿌리는 강심제로 쓰인다.,남부지역에서 삽목번식으로 쉽게 기를 수 있다. 키가 3m까지 자란다. 추위에 약해 중부지역에서는 실내용이 아니면 월동이 곤란하다.
39,327,꽃향유,Haizhou elsholtzia   ,"조숙, 성숙",햇볕이 잘 드는 곳이면 정원 어디든 좋다. 4월에 씨앗을 뿌려도 그 해 가을이면 키가 50-60cm 정도로 자라며 꽃이 많이 달리고 한 달이상 피어 가을화단용으로 충분하다. 꽃향기가 매우 강하다.,가을에 작 익은 씨앗을 따서 말려 저장했다가 이듬해 봄에 뿌린다. 씨앗은 휴면성이 거의 없어서 싹이 잘 나온다. 건조나 더위에 강해 잘 자란다. 단일에 아주 잘 반응하므로 실내에서 낮의 길이를 조절해주면 연중 언제나 꽃을 피울 수 있다. 
40,326,털머위,Leopard plant,한결같은 마음,잎 모양이 좋아 실내 분화용 또는 실내정원용 소재로 흔히 쓰이며 온도만 맞으면 잎은 연중 같은 모양으로 한결같은 질감을 보여준다.,씨앗이나 포기나누기로 번식한다. 잎에 무늬가 들어있는 원예종 분화용은 3-4월 분갈이 때 포기를 나눠준다. 씨앗은 가을에 충실한 것들을 골라 모래상자에 뿌리면 봄에 잘 발아된다.
